,City,Country,Latitude,Longitude,Temperature (C),Cloud Cover,Humidity,Wind Speed (m/s),Current as of:
0,Bluff,AU,-23.58,149.07,15.95,0,28,1.52,2019-09-04 14:12
1,Sinnamary,GF,5.38,-52.96,27.95,94,76,8.84,2019-09-04 14:12
2,Rikitea,PF,-23.12,-134.97,22.75,95,71,3.31,2019-09-04 14:12
3,Shelburne,CA,44.08,-80.2,17.04,90,72,5.1,2019-09-04 14:12
4,Carnarvon,ZA,-30.97,22.13,16.45,12,18,6.01,2019-09-04 14:12
5,Norman Wells,CA,65.28,-126.83,11.0,75,87,2.1,2019-09-04 14:12
6,Sitka,US,37.17,-99.65,32.24,0,43,5.36,2019-09-04 14:12
7,Waipawa,NZ,-39.94,176.59,12.22,100,96,1.4,2019-09-04 14:12
8,Ostrovnoy,RU,68.05,39.51,11.55,100,78,5.11,2019-09-04 14:12
9,Hermanus,ZA,-34.42,19.24,13.95,23,85,1.34,2019-09-04 14:12
10,Catuday,PH,16.29,119.81,28.15,100,81,9.85,2019-09-04 14:12
11,Busselton,AU,-33.64,115.35,2.38,79,66,5.12,2019-09-04 14:12
12,Lompoc,US,34.64,-120.46,26.15,90,77,4.1,2019-09-04 14:12
13,San Policarpo,PH,12.18,125.51,25.65,100,81,2.6,2019-09-04 14:12
14,Mataura,NZ,-46.19,168.86,7.78,100,96,1.73,2019-09-04 14:12
15,Chase,US,38.35,-98.35,29.54,1,58,5.7,2019-09-04 14:12
16,Cabo San Lucas,MX,22.89,-109.91,31.44,5,55,3.6,2019-09-04 14:12
17,Isangel,VU,-19.55,169.27,20.0,20,82,5.07,2019-09-04 14:12
18,Mount Isa,AU,-20.73,139.49,12.0,16,40,0.5,2019-09-04 14:12
19,Torbay,CA,47.66,-52.73,18.89,75,82,5.7,2019-09-04 14:12
20,Chokurdakh,RU,70.62,147.9,4.65,35,71,3.05,2019-09-04 14:12
21,Kidal,ML,18.44,1.41,38.45,45,18,5.25,2019-09-04 14:12
22,Kapaa,US,22.08,-159.32,27.64,40,66,5.7,2019-09-04 14:12
23,New Norfolk,AU,-42.78,147.06,5.36,75,80,1.2,2019-09-04 14:12
24,Tuktoyaktuk,CA,69.44,-133.03,9.0,75,87,2.1,2019-09-04 14:12
25,Aklavik,CA,68.22,-135.01,10.23,90,100,3.1,2019-09-04 14:12
26,Santa Lucia,IT,41.98,12.66,23.1,0,64,1.5,2019-09-04 14:12
27,Nalhati,IN,24.29,87.85,26.85,97,89,2.66,2019-09-04 14:12
28,Ola,RU,59.58,151.3,11.45,100,95,6.34,2019-09-04 14:12
29,Fare,PF,-16.7,-151.02,25.55,17,81,10.78,2019-09-04 14:12
30,Half Moon Bay,US,37.46,-122.43,21.73,90,93,3.6,2019-09-04 14:12
31,Qaanaaq,GL,77.48,-69.36,1.25,34,45,2.0,2019-09-04 14:12
32,Cherskiy,RU,68.75,161.3,3.95,14,61,2.72,2019-09-04 14:12
33,Butaritari,KI,3.07,172.79,28.45,95,74,2.43,2019-09-04 14:12
34,Lagunas,PE,-5.23,-75.68,35.75,32,40,1.24,2019-09-04 14:12
35,Omsukchan,RU,62.53,155.8,4.05,93,87,3.24,2019-09-04 14:12
36,East London,ZA,-33.02,27.91,15.0,20,93,2.1,2019-09-04 14:12
37,Bay Roberts,CA,47.58,-53.28,18.89,75,82,5.7,2019-09-04 14:12
38,Cape Town,ZA,-33.93,18.42,14.9,0,67,11.3,2019-09-04 14:12
39,Haines Junction,CA,60.75,-137.51,7.55,4,60,1.67,2019-09-04 14:12
40,Cervo,BR,-22.19,-46.24,26.0,20,41,4.0,2019-09-04 14:12
41,Arraial do Cabo,BR,-22.97,-42.02,23.0,75,88,5.1,2019-09-04 14:12
42,Punta Arenas,CL,-53.16,-70.91,3.89,75,69,2.24,2019-09-04 14:12
43,Puerto Escondido,MX,15.86,-97.07,31.0,20,66,2.1,2019-09-04 14:12
44,Barrow,AR,-38.31,-60.23,8.45,85,49,5.48,2019-09-04 14:12
45,Nikolskoye,RU,59.7,30.79,15.05,20,82,3.0,2019-09-04 14:12
46,La Ligua,CL,-32.45,-71.23,12.75,100,75,4.19,2019-09-04 14:13
47,Vaini,IN,15.34,74.49,24.05,100,94,1.98,2019-09-04 14:13
48,Tasiilaq,GL,65.61,-37.64,7.0,75,65,9.3,2019-09-04 14:13
49,Mar del Plata,AR,-46.43,-67.52,3.55,0,39,2.07,2019-09-04 14:13
50,Ushuaia,AR,-54.81,-68.31,5.0,0,60,11.8,2019-09-04 14:13
51,Port Hardy,CA,50.7,-127.42,15.0,40,82,2.6,2019-09-04 14:13
52,Castro,CL,-42.48,-73.76,8.35,0,46,2.22,2019-09-04 14:13
53,Sunrise,US,45.55,-92.86,19.37,40,55,1.5,2019-09-04 14:13
54,Mentougou,CN,39.94,116.09,21.84,36,93,1.0,2019-09-04 14:13
55,Cidreira,BR,-30.17,-50.22,13.25,4,43,6.01,2019-09-04 14:13
56,Nouadhibou,MR,20.93,-17.03,26.0,0,65,8.7,2019-09-04 14:13
57,Port Elizabeth,US,39.31,-74.98,31.21,1,52,5.1,2019-09-04 14:13
58,Acapulco,MX,16.86,-99.88,30.0,20,74,3.6,2019-09-04 14:13
59,Ponta do Sol,BR,-20.63,-46.0,33.05,0,21,2.54,2019-09-04 14:13
60,Thompson,CA,55.74,-97.86,11.0,40,50,1.5,2019-09-04 14:13
61,Grasse,FR,43.66,6.92,23.69,0,57,1.0,2019-09-04 14:13
62,Avarua,CK,-21.21,-159.78,23.0,79,64,7.7,2019-09-04 14:13
63,Puerto Ayora,EC,-0.74,-90.35,23.91,40,65,9.8,2019-09-04 14:13
64,Chuy,UY,-33.69,-53.46,9.25,48,59,6.67,2019-09-04 14:13
65,Dikson,RU,73.51,80.55,6.25,100,98,8.45,2019-09-04 14:13
66,Bilibino,RU,68.06,166.44,-2.25,0,79,0.77,2019-09-04 14:13
67,Ullapool,GB,57.9,-5.16,9.59,100,78,4.47,2019-09-04 14:13
68,Floro,NO,61.6,5.03,9.95,75,93,2.1,2019-09-04 14:13
69,Mount Gambier,AU,-37.83,140.78,8.0,75,93,4.1,2019-09-04 14:13
70,Mahibadhoo,MV,3.78,72.97,28.35,100,77,4.17,2019-09-04 14:13
71,Praia da Vitoria,PT,38.73,-27.07,23.0,40,88,8.02,2019-09-04 14:13
72,Bethel,US,60.79,-161.76,10.35,90,93,7.7,2019-09-04 14:13
73,Port Alfred,ZA,-33.59,26.89,13.89,95,94,0.45,2019-09-04 14:13
74,Irece,BR,-11.3,-41.86,31.65,22,28,5.17,2019-09-04 14:13
75,Leh,IN,34.16,77.58,10.55,0,29,2.48,2019-09-04 14:13
76,Atuona,PF,-9.8,-139.03,25.85,74,74,3.92,2019-09-04 14:13
77,Gat,SN,14.69,-16.54,30.63,75,83,1.5,2019-09-04 14:13
78,Usinsk,RU,66.0,57.56,10.95,0,76,4.49,2019-09-04 14:13
79,Alice Springs,AU,-23.7,133.88,14.0,0,11,2.6,2019-09-04 14:13
80,Iqaluit,CA,63.75,-68.52,6.85,75,70,4.6,2019-09-04 14:13
81,Fort Nelson,CA,58.81,-122.69,18.0,75,55,4.1,2019-09-04 14:13
82,Katangli,RU,51.71,143.23,14.25,86,95,5.56,2019-09-04 14:13
83,Piacabucu,BR,-10.41,-36.43,25.85,18,71,4.42,2019-09-04 14:13
84,Talnakh,RU,69.49,88.39,9.0,75,87,2.0,2019-09-04 14:13
85,Tigzirt,DZ,36.57,4.2,20.65,0,64,2.79,2019-09-04 14:13
86,Luderitz,NA,-26.65,15.16,14.0,89,87,6.7,2019-09-04 14:13
87,Port-Gentil,GA,-0.72,8.78,25.0,75,88,5.7,2019-09-04 14:13
88,Bambous Virieux,MU,-20.34,57.76,22.38,75,78,5.1,2019-09-04 14:13
89,Boende,CD,-0.28,20.88,23.05,65,86,1.27,2019-09-04 14:13
90,Vila Velha,BR,-3.71,-38.6,28.34,20,62,7.7,2019-09-04 14:13
91,Constitucion,MX,23.99,-104.67,20.64,75,45,3.1,2019-09-04 14:13
92,Geraldton,CA,49.72,-86.95,17.0,40,45,3.1,2019-09-04 14:13
93,Fortuna,US,40.6,-124.16,17.92,1,72,5.7,2019-09-04 14:13
94,Lengshuitan,CN,26.41,111.6,23.95,37,75,1.56,2019-09-04 14:13
95,Hithadhoo,MV,-0.6,73.08,28.75,49,77,7.1,2019-09-04 14:13
96,Hilo,US,19.71,-155.08,22.99,90,83,4.1,2019-09-04 14:13
97,Upernavik,GL,72.79,-56.15,6.15,5,80,5.54,2019-09-04 14:13
98,Albany,US,42.65,-73.75,22.99,40,78,4.6,2019-09-04 14:13
99,Lasa,CY,34.92,32.53,24.63,20,73,1.5,2019-09-04 14:13
100,Bandrele,YT,-12.91,45.19,25.0,0,88,2.6,2019-09-04 14:13
101,Ilulissat,GL,69.22,-51.1,7.0,75,75,2.1,2019-09-04 14:13
102,Kununurra,AU,-15.77,128.74,19.0,0,82,2.87,2019-09-04 14:13
103,Magadan,RU,59.56,150.8,11.85,100,95,5.1,2019-09-04 14:13
104,Souillac,FR,45.6,-0.6,20.2,0,72,5.7,2019-09-04 14:13
105,Esperance,AU,-33.86,121.89,7.0,75,93,3.6,2019-09-04 14:13
106,Okhotsk,RU,59.36,143.24,6.55,5,90,1.41,2019-09-04 14:13
107,Rio Gallegos,AR,-51.62,-69.22,7.0,40,52,4.1,2019-09-04 14:13
108,Saint-Philippe,CA,45.36,-73.48,22.77,75,64,9.3,2019-09-04 14:13
109,Klaksvik,FO,62.23,-6.59,8.0,20,75,6.7,2019-09-04 14:13
110,Viedma,AR,-40.81,-62.99,7.25,87,49,5.58,2019-09-04 14:13
111,Qasigiannguit,GL,68.82,-51.19,7.0,75,75,2.1,2019-09-04 14:13
112,Dekar,BW,-21.53,21.93,20.05,0,20,2.66,2019-09-04 14:13
113,Narsaq,GL,60.91,-46.05,10.0,75,81,2.6,2019-09-04 14:13
114,Cururupu,BR,-1.82,-44.87,27.55,99,71,2.86,2019-09-04 14:13
115,Atocha,AR,-24.82,-65.48,14.19,90,47,5.1,2019-09-04 14:13
116,Bredasdorp,ZA,-34.53,20.04,10.82,65,81,0.5,2019-09-04 14:13
117,Matagami,NG,9.67,8.4,22.55,100,90,1.0,2019-09-04 14:13
118,Provideniya,RU,64.42,-173.23,7.05,100,92,4.82,2019-09-04 14:13
119,Ixtapa,MX,20.71,-105.21,32.1,40,66,5.1,2019-09-04 14:13
120,Djibo,BF,14.1,-1.63,35.45,78,34,1.8,2019-09-04 14:13
121,Hami,CN,42.84,93.51,25.45,0,18,1.64,2019-09-04 14:13
122,Boquira,BR,-12.82,-42.73,35.05,0,18,3.35,2019-09-04 14:13
123,Moustheni,GR,40.86,24.11,27.83,20,39,3.6,2019-09-04 14:13
124,Saskylakh,RU,71.97,114.09,-0.15,84,84,4.89,2019-09-04 14:13
125,Tuatapere,NZ,-46.13,167.69,7.78,100,96,1.83,2019-09-04 14:13
126,Boa Vista,BR,2.82,-60.67,33.0,75,49,3.6,2019-09-04 14:13
127,Corovode,AL,40.5,20.23,22.85,99,59,1.07,2019-09-04 14:13
128,Manzhouli,CN,49.6,117.43,13.75,68,95,5.31,2019-09-04 14:13
129,Jamestown,AU,-33.21,138.6,12.65,13,60,3.61,2019-09-04 14:13
130,Machado,BR,-21.69,-45.92,26.0,20,41,3.14,2019-09-04 14:13
131,Ocampo,MX,27.32,-102.4,22.45,100,57,7.52,2019-09-04 14:13
132,Saint George,GR,39.45,22.34,24.55,20,41,2.6,2019-09-04 14:13
133,Lebu,ET,8.96,38.73,17.0,75,82,1.09,2019-09-04 14:13
134,Paine,CL,-33.81,-70.74,22.22,100,35,2.58,2019-09-04 14:13
135,Guerrero Negro,MX,27.97,-114.04,22.35,0,82,3.31,2019-09-04 14:13
136,Adrar,DZ,27.87,-0.29,39.0,0,17,3.6,2019-09-04 14:13
137,Mamallapuram,IN,12.63,80.17,28.0,75,83,1.5,2019-09-04 14:13
138,Amahai,ID,-3.31,129.0,23.95,97,89,3.84,2019-09-04 14:13
139,Ridgecrest,US,35.62,-117.67,36.09,1,19,2.35,2019-09-04 14:13
140,Edinburg,US,26.3,-98.16,28.35,90,83,7.7,2019-09-04 14:13
141,Saldanha,PT,41.42,-6.55,29.45,1,25,5.14,2019-09-04 14:13
142,Sfantu Gheorghe,RO,44.65,26.83,19.93,0,56,7.7,2019-09-04 14:13
143,Lesozavodsk,RU,45.47,133.42,16.95,100,88,5.02,2019-09-04 14:13
144,Skibbereen,IE,51.55,-9.27,13.0,75,71,10.8,2019-09-04 14:13
145,Tazovskiy,RU,67.47,78.7,7.85,96,91,1.7,2019-09-04 14:13
146,Bandarbeyla,SO,9.49,50.81,25.65,0,68,12.2,2019-09-04 14:13
147,Padang,ID,-0.92,100.36,27.55,84,84,8.75,2019-09-04 14:13
148,Eenhana,NA,-17.48,16.34,29.0,0,10,3.56,2019-09-04 14:13
149,Namangan,UZ,41.0,71.67,21.0,90,49,5.1,2019-09-04 14:13
150,Sorland,NO,67.67,12.69,10.0,75,87,2.1,2019-09-04 14:13
151,Lata,IN,30.78,78.62,7.55,100,96,0.79,2019-09-04 14:13
152,Hobart,AU,-42.88,147.33,5.37,75,80,1.2,2019-09-04 14:13
153,Dongsheng,CN,29.72,112.52,22.05,85,74,3.12,2019-09-04 14:13
154,Husavik,CA,50.56,-96.99,22.26,100,46,3.13,2019-09-04 14:13
155,Kahului,US,20.89,-156.47,26.52,20,62,5.1,2019-09-04 14:13
156,San Diego de los Banos,CU,22.65,-83.37,31.35,36,67,4.61,2019-09-04 14:13
157,Kutum,SD,14.2,24.66,29.85,84,25,2.24,2019-09-04 14:13
158,Nantucket,US,41.28,-70.1,25.69,75,83,5.1,2019-09-04 14:13
159,Prince Albert,CA,53.2,-105.75,15.0,75,77,6.7,2019-09-04 14:13
160,Sao Jose da Coroa Grande,BR,-8.9,-35.15,25.15,72,81,4.5,2019-09-04 14:13
161,Chapais,CA,49.78,-74.86,9.0,90,87,5.1,2019-09-04 14:13
162,Knokke-Heist,BE,51.33,3.33,16.03,49,52,7.7,2019-09-04 14:13
163,Glens Falls,US,43.31,-73.64,22.7,90,83,2.6,2019-09-04 14:13
164,Masterton,NZ,-40.95,175.66,11.99,100,92,1.08,2019-09-04 14:13
165,Komsomolskiy,RU,67.55,63.78,9.85,20,84,3.19,2019-09-04 14:13
166,Roald,NO,62.58,6.12,9.99,75,76,3.6,2019-09-04 14:13
167,Kampot,KH,10.62,104.18,26.52,75,83,6.2,2019-09-04 14:13
168,Caravelas,BR,-17.73,-39.27,25.35,62,72,6.06,2019-09-04 14:13
169,Saint-Joseph,FR,43.56,6.97,23.69,0,57,1.0,2019-09-04 14:13
170,Abu Samrah,SY,35.3,37.18,22.65,0,66,5.04,2019-09-04 14:13
171,Puerto Baquerizo Moreno,EC,-0.9,-89.6,24.0,40,73,8.2,2019-09-04 14:13
172,Buchanan,LR,5.88,-10.05,27.0,75,83,4.1,2019-09-04 14:13
173,Clyde River,CA,70.47,-68.59,7.0,75,70,5.1,2019-09-04 14:13
174,Torrington,US,42.06,-104.18,29.25,1,25,1.5,2019-09-04 14:13
175,Hay River,CA,60.82,-115.79,14.0,75,71,4.1,2019-09-04 14:13
176,Moose Factory,CA,51.26,-80.61,15.0,1,41,4.6,2019-09-04 14:13
177,Grindavik,IS,63.84,-22.43,10.0,75,100,3.6,2019-09-04 14:13
178,Touros,BR,-5.2,-35.46,25.0,90,88,2.1,2019-09-04 14:13
179,Kaura Namoda,NG,12.59,6.58,30.55,85,53,1.54,2019-09-04 14:13
180,Marsh Harbour,BS,26.54,-77.06,29.05,83,80,10.89,2019-09-04 14:13
181,Jahangirpur,BD,24.5,90.66,27.15,100,84,3.55,2019-09-04 14:13
182,Saint-Denis,FR,48.94,2.36,16.53,0,42,4.1,2019-09-04 14:13
183,Pevek,RU,69.7,170.27,3.75,0,78,3.46,2019-09-04 14:13
184,Sao Filipe,CV,14.9,-24.5,27.25,0,83,5.43,2019-09-04 14:13
185,San Francisco de Ojuera,HN,14.75,-88.19,30.15,68,47,1.61,2019-09-04 14:13
186,Riyadh,SA,24.63,46.72,36.0,0,20,1.5,2019-09-04 14:13
187,Arras,FR,50.29,2.78,15.68,90,72,6.7,2019-09-04 14:13
188,Mahebourg,MU,-20.41,57.7,22.4,75,78,5.1,2019-09-04 14:13
189,Miandrivazo,MG,-19.53,45.46,23.45,100,70,2.73,2019-09-04 14:13
190,Puerto Carreno,CO,6.19,-67.49,32.0,40,62,2.01,2019-09-04 14:13
191,Suez,EG,29.97,32.54,26.15,0,56,5.85,2019-09-04 14:13
192,Iracoubo,GF,5.48,-53.21,32.15,89,55,4.31,2019-09-04 14:13
193,Lat Yao,TH,15.75,99.79,24.15,100,87,1.43,2019-09-04 14:13
194,Kitimat,CA,54.02,-128.69,15.68,90,87,6.2,2019-09-04 14:13
195,Qeshm,IR,26.96,56.27,31.4,0,75,1.0,2019-09-04 14:13
196,Yellowknife,CA,62.45,-114.38,13.4,75,58,4.6,2019-09-04 14:13
197,Jiwani,PK,25.05,61.74,28.65,31,79,2.84,2019-09-04 14:13
198,Bathsheba,BB,13.22,-59.52,31.0,20,66,6.7,2019-09-04 14:13
199,Leningradskiy,RU,69.38,178.42,2.55,100,90,3.95,2019-09-04 14:13
200,Itarantim,BR,-15.65,-40.06,27.25,57,50,3.18,2019-09-04 14:14
201,San Vicente de Canete,PE,-13.08,-76.38,16.55,53,81,3.49,2019-09-04 14:14
202,Vao,EE,59.1,26.19,12.75,25,93,2.69,2019-09-04 14:14
203,Laguna,BZ,16.17,-88.94,32.0,75,75,3.1,2019-09-04 14:14
204,Bud,NO,62.91,6.91,10.68,75,76,3.6,2019-09-04 14:14
205,Casa Grande,PE,-7.74,-79.19,20.0,20,72,4.1,2019-09-04 14:14
206,Beloha,MG,-25.17,45.06,19.55,0,79,5.42,2019-09-04 14:14
207,Texarkana,US,33.44,-94.04,34.74,20,38,1.5,2019-09-04 14:14
208,Vardo,US,39.62,-77.74,32.24,40,49,4.6,2019-09-04 14:14
209,Kayerkan,RU,69.35,87.76,9.0,75,87,2.0,2019-09-04 14:14
210,Kulhudhuffushi,MV,6.62,73.07,27.95,34,79,4.28,2019-09-04 14:14
211,Sambava,MG,-14.27,50.17,17.95,95,89,0.79,2019-09-04 14:14
212,Smithers,CA,54.78,-127.17,16.0,75,77,1.5,2019-09-04 14:14
213,Mae Sai,MM,20.44,99.89,25.0,0,94,0.99,2019-09-04 14:14
214,Marystown,CA,47.17,-55.16,20.55,63,72,2.01,2019-09-04 14:14
215,Kaka,TM,37.35,59.62,20.85,0,40,1.57,2019-09-04 14:14
216,Kamina,CD,-8.74,25.0,25.15,41,25,1.75,2019-09-04 14:14
217,Montepuez,MZ,-13.13,39.0,24.25,18,39,2.92,2019-09-04 14:14
218,Nome,US,30.04,-94.42,35.0,75,44,4.6,2019-09-04 14:14
219,Ilhabela,BR,-23.78,-45.36,20.35,82,89,6.48,2019-09-04 14:14
220,Kingaroy,AU,-26.54,151.84,6.0,0,60,1.47,2019-09-04 14:14
221,Kasongo-Lunda,CD,-6.48,16.82,24.65,66,64,0.96,2019-09-04 14:14
222,Hamilton,CA,43.26,-79.87,19.38,75,72,6.2,2019-09-04 14:14
223,Leshukonskoye,RU,64.9,45.76,15.35,76,92,2.7,2019-09-04 14:14
224,Pangnirtung,CA,66.15,-65.72,8.0,75,87,4.1,2019-09-04 14:14
225,Ancud,CL,-41.87,-73.83,10.45,0,51,3.96,2019-09-04 14:14
226,Vangaindrano,MG,-23.35,47.6,19.25,18,91,1.16,2019-09-04 14:14
227,Waddan,LY,29.16,16.14,29.45,0,31,3.88,2019-09-04 14:14
228,Urengoy,RU,65.96,78.37,11.05,100,78,0.88,2019-09-04 14:14
229,Jumla,NP,29.28,82.18,12.05,99,98,1.07,2019-09-04 14:14
230,Daru,PG,-9.07,143.21,22.35,60,79,3.38,2019-09-04 14:14
231,Tabou,CI,4.42,-7.36,24.95,61,85,2.62,2019-09-04 14:14
232,Road Town,VG,18.42,-64.62,29.59,40,66,5.7,2019-09-04 14:14
233,Auki,NG,12.18,6.51,29.25,100,61,2.76,2019-09-04 14:14
234,Thinadhoo,MV,0.53,72.93,28.95,100,77,6.64,2019-09-04 14:14
235,Diffa,NE,13.32,12.61,35.95,100,28,2.63,2019-09-04 14:14
236,Harmanli,BG,41.93,25.9,21.98,5,73,8.2,2019-09-04 14:14
237,Vostok,RU,46.45,135.83,14.85,83,76,1.91,2019-09-04 14:14
238,Penedo,BR,-10.29,-36.58,26.05,3,69,4.94,2019-09-04 14:14
239,Agua Dulce,MX,18.14,-94.15,33.0,40,63,5.1,2019-09-04 14:14
240,Namibe,AO,-15.19,12.15,18.35,99,83,3.82,2019-09-04 14:14
241,Kodiak,US,39.95,-94.76,24.91,1,64,2.6,2019-09-04 14:14
242,Zaozerne,UA,51.37,23.94,15.95,45,61,1.42,2019-09-04 14:14
243,Nuuk,GL,64.17,-51.74,7.44,75,52,10.8,2019-09-04 14:14
244,Pitimbu,BR,-7.47,-34.81,26.0,75,83,5.7,2019-09-04 14:14
245,Dzilam Gonzalez,MX,21.28,-88.93,28.35,10,80,4.63,2019-09-04 14:14
246,Portland,US,43.66,-70.25,20.24,90,83,6.2,2019-09-04 14:14
247,Kavaratti,IN,10.57,72.64,28.05,84,80,8.57,2019-09-04 14:14
248,Coquimbo,CL,-29.95,-71.34,11.85,7,90,5.34,2019-09-04 14:14
249,Minab,IR,27.15,57.07,31.06,0,62,0.95,2019-09-04 14:14
250,Jorpeland,NO,59.02,6.04,11.93,75,82,5.7,2019-09-04 14:14
251,Shwebo,MM,22.57,95.7,27.15,86,83,4.03,2019-09-04 14:14
252,Mabaruma,GY,8.2,-59.78,30.15,79,72,1.84,2019-09-04 14:14
253,Pumiao,CN,22.75,108.49,26.0,0,88,1.0,2019-09-04 14:14
254,Weligama,LK,5.97,80.42,27.75,100,82,6.82,2019-09-04 14:14
255,Kudahuvadhoo,MV,2.67,72.89,28.65,79,77,4.97,2019-09-04 14:14
256,Mapiripan,CO,2.89,-72.13,32.75,77,51,1.08,2019-09-04 14:14
257,Saint-Francois,FR,46.42,3.91,19.93,0,33,3.1,2019-09-04 14:14
258,Khatanga,RU,71.98,102.47,-1.05,15,74,1.75,2019-09-04 14:14
259,Natal,BR,-5.81,-35.21,26.22,90,88,2.1,2019-09-04 14:14
260,Camacha,PT,33.08,-16.33,23.58,40,73,6.7,2019-09-04 14:14
261,Victoria,BN,5.28,115.24,25.52,75,94,0.5,2019-09-04 14:14
262,Mitu,IR,36.2,46.09,17.45,0,26,2.25,2019-09-04 14:14
263,Lorengau,PG,-2.02,147.27,25.85,94,87,5.14,2019-09-04 14:14
264,Vanderhoof,CA,54.02,-124.02,15.75,91,59,3.05,2019-09-04 14:14
