,City,Country,Latitude,Longitude,Temperature (C),Cloud Cover,Humidity,Wind Speed (m/s),Current as of:
265,Meulaboh,ID,4.14,96.13,28.15,63,80,3.14,2019-09-04 14:14
266,Zhanaozen,KZ,43.35,52.85,18.35,1,39,4.3,2019-09-04 14:14
267,Rize,TR,41.02,40.52,23.94,40,78,2.1,2019-09-04 14:14
268,Nadym,RU,65.53,72.51,11.35,98,80,2.57,2019-09-04 14:14
269,Sola,TZ,-3.17,33.8,25.35,52,28,1.16,2019-09-04 14:14
270,La Ronge,CA,55.1,-105.3,15.0,75,72,4.6,2019-09-04 14:14
271,Kaitangata,NZ,-46.28,169.85,9.44,100,77,2.68,2019-09-04 14:14
272,Bodden Town,KY,19.28,-81.25,31.8,20,70,4.1,2019-09-04 14:14
273,Fomboni,KM,-12.28,43.74,25.45,58,77,2.95,2019-09-04 14:14
274,Tucumcari,US,35.17,-103.73,31.05,1,33,3.1,2019-09-04 14:14
275,Leopold,US,38.1,-86.58,30.32,40,75,2.6,2019-09-04 14:14
276,Sungaipenuh,ID,-2.08,101.38,23.15,83,97,0.88,2019-09-04 14:14
277,Pontarlier,CH,46.9,6.35,16.95,0,66,1.93,2019-09-04 14:14
278,Santa Fe,AR,-31.62,-60.7,17.78,0,18,1.79,2019-09-04 14:14
279,Mumford,GH,5.26,-0.76,24.95,85,87,3.27,2019-09-04 14:14
280,Dingle,PH,11.0,122.67,22.95,97,80,1.01,2019-09-04 14:14
281,Yumen,CN,40.29,97.04,22.85,0,29,5.12,2019-09-04 14:14
282,Airai,TL,-8.93,125.41,18.95,97,86,2.15,2019-09-04 14:14
283,Timmins,CA,48.48,-81.33,15.0,75,51,6.7,2019-09-04 14:14
284,Esil,KZ,51.96,66.41,11.75,100,63,5.16,2019-09-04 14:14
285,Russkiy Kameshkir,RU,52.86,46.09,10.45,54,83,2.31,2019-09-04 14:14
286,Mascote,BR,-15.56,-39.3,27.75,44,54,2.7,2019-09-04 14:14
287,Muli,CN,28.08,109.56,19.25,6,89,1.66,2019-09-04 14:14
288,Flinders,AU,-34.58,150.85,12.86,0,87,2.1,2019-09-04 14:14
289,Khandyga,RU,62.65,135.58,2.55,8,91,1.08,2019-09-04 14:14
290,Baykit,RU,61.68,96.39,6.45,81,96,0.75,2019-09-04 14:14
291,Junnar,IN,19.21,73.88,22.85,100,98,3.17,2019-09-04 14:14
292,Mankono,CI,8.06,-6.19,25.55,63,90,1.3,2019-09-04 14:14
293,Anzio,IT,41.45,12.63,23.79,0,64,1.5,2019-09-04 14:14
294,Georgetown,GY,6.8,-58.16,30.0,75,79,4.1,2019-09-04 14:14
295,Alofi,NU,-19.06,-169.92,23.0,100,100,6.7,2019-09-04 14:14
296,Lavrentiya,RU,65.58,-170.99,6.45,94,97,4.39,2019-09-04 14:14
297,Samarai,PG,-10.62,150.67,20.85,97,72,2.74,2019-09-04 14:14
298,Harur,IN,12.06,78.48,23.65,97,80,2.47,2019-09-04 14:14
299,Hervey Bay,AU,-25.3,152.85,11.52,0,71,2.1,2019-09-04 14:14
300,Savannah Bight,HN,16.45,-85.85,28.95,98,74,6.3,2019-09-04 14:14
301,Voyvozh,RU,62.89,54.96,10.25,0,77,1.3,2019-09-04 14:14
302,Artyom,RU,43.36,132.19,18.0,90,100,3.0,2019-09-04 14:14
303,Paamiut,GL,61.99,-49.67,6.15,8,73,1.3,2019-09-04 14:14
304,Ust-Ishim,RU,57.69,71.17,7.95,57,97,1.46,2019-09-04 14:14
305,Inhambane,MZ,-23.87,35.38,22.0,0,78,6.2,2019-09-04 14:14
306,Snasa,NO,64.25,12.38,12.0,0,81,2.1,2019-09-04 14:14
307,Macau,BR,-5.11,-36.64,27.35,0,70,9.75,2019-09-04 14:14
308,Kodinsk,RU,58.6,99.18,9.05,99,76,1.85,2019-09-04 14:14
309,Ribeira Grande,PT,38.52,-28.7,24.0,40,69,7.2,2019-09-04 14:14
310,Sudak,UA,44.85,34.97,18.05,45,71,2.08,2019-09-04 14:14
311,Brownsville,US,25.91,-97.49,28.26,75,88,11.8,2019-09-04 14:14
312,Hasaki,JP,35.73,140.83,22.38,75,94,2.1,2019-09-04 14:14
313,Lagoa,PT,37.14,-8.45,24.68,20,78,5.1,2019-09-04 14:14
314,San Patricio,PY,-26.98,-56.83,19.15,38,45,4.74,2019-09-04 14:14
315,Nabire,ID,-3.36,135.5,20.25,95,94,2.11,2019-09-04 14:14
316,Nador,MA,35.17,-2.93,25.58,40,83,2.1,2019-09-04 14:14
317,Kaduna,NG,10.52,7.44,23.95,100,87,1.94,2019-09-04 14:14
318,Voh,NC,-20.95,164.69,20.45,41,69,7.32,2019-09-04 14:14
319,Wildwood,US,38.58,-90.63,27.23,1,54,2.1,2019-09-04 14:14
320,Mindelo,PT,41.31,-8.72,26.5,0,61,3.1,2019-09-04 14:14
321,Zarinsk,RU,53.71,84.95,9.75,29,60,1.11,2019-09-04 14:14
322,Sao Gabriel da Cachoeira,BR,-0.13,-67.09,32.0,20,62,1.5,2019-09-04 14:14
323,Robe,ET,7.12,40.01,10.15,7,82,2.33,2019-09-04 14:14
324,Boyolangu,ID,-8.09,111.9,17.45,45,94,2.24,2019-09-04 14:14
325,Sisimiut,GL,66.94,-53.67,5.55,13,79,10.8,2019-09-04 14:14
326,Muros,ES,42.77,-9.06,19.71,20,72,6.7,2019-09-04 14:14
327,Beringovskiy,RU,63.05,179.32,5.65,100,95,1.45,2019-09-04 14:14
328,Elmira,US,42.09,-76.81,25.22,20,50,5.1,2019-09-04 14:14
329,Bajil,ES,38.23,-2.07,21.11,94,85,1.34,2019-09-04 14:14
330,Wuda,CN,39.5,106.72,19.55,30,56,9.48,2019-09-04 14:14
331,Puerto Madryn,AR,-42.77,-65.04,6.05,18,38,1.4,2019-09-04 14:14
332,Codrington,AU,-28.95,153.24,7.84,0,87,3.6,2019-09-04 14:14
333,Tiksi,RU,71.64,128.87,5.65,100,91,3.35,2019-09-04 14:14
334,Bakchar,RU,57.02,82.07,6.75,61,98,1.89,2019-09-04 14:14
335,Zaraza,VE,9.35,-65.33,30.25,97,75,2.36,2019-09-04 14:14
336,Puerto Quijarro,BO,-19.0,-57.72,33.0,20,43,2.6,2019-09-04 14:14
337,Los Llanos de Aridane,ES,28.66,-17.92,24.0,20,57,3.6,2019-09-04 14:14
338,Kholtoson,RU,50.3,103.31,8.25,42,94,0.33,2019-09-04 14:14
339,Marsaxlokk,MT,35.84,14.54,24.71,20,83,1.0,2019-09-04 14:14
340,San Cristobal,HN,14.68,-86.92,31.25,100,30,4.65,2019-09-04 14:14
341,Tinaquillo,VE,9.92,-68.31,26.25,100,66,2.2,2019-09-04 14:14
342,Svetlogorsk,RU,53.14,59.15,8.0,75,87,3.0,2019-09-04 14:14
343,Misratah,LY,32.38,15.09,26.45,0,69,9.35,2019-09-04 14:14
344,Vila,IT,45.18,8.4,22.67,0,57,3.1,2019-09-04 14:14
345,Waingapu,ID,-9.65,120.26,19.35,57,91,3.48,2019-09-04 14:14
346,Shenzhen,CN,22.54,114.05,27.14,40,78,3.1,2019-09-04 14:14
347,Nanortalik,GL,60.14,-45.24,6.15,95,80,4.51,2019-09-04 14:14
348,Xiaoshi,CN,30.59,116.63,20.35,5,89,2.4,2019-09-04 14:14
349,Severo-Kurilsk,RU,50.68,156.12,9.95,83,92,9.46,2019-09-04 14:14
350,Ischia,IT,46.03,11.25,17.76,5,81,2.1,2019-09-04 14:14
351,Conceicao do Araguaia,BR,-8.26,-49.26,41.25,38,15,3.39,2019-09-04 14:14
352,Brae,GB,60.4,-1.35,9.42,40,81,9.3,2019-09-04 14:15
353,Drumheller,CA,51.47,-112.7,23.09,57,46,1.79,2019-09-04 14:15
354,Christchurch,NZ,-43.53,172.64,8.73,95,100,4.6,2019-09-04 14:15
355,Hovd,NO,63.83,10.7,12.67,0,62,4.1,2019-09-04 14:15
356,Rawson,AR,-43.3,-65.11,4.95,55,45,3.06,2019-09-04 14:15
357,Hualmay,PE,-11.1,-77.61,16.15,83,86,3.88,2019-09-04 14:15
358,Veraval,FR,49.65,0.71,15.14,20,62,5.1,2019-09-04 14:15
359,Te Anau,NZ,-45.41,167.72,4.95,100,85,0.46,2019-09-04 14:15
360,Wattegama,LK,7.35,80.68,23.35,100,85,2.29,2019-09-04 14:15
361,Kabare,RW,-1.65,29.38,20.0,75,72,3.1,2019-09-04 14:15
362,Hambantota,LK,6.12,81.12,26.0,40,100,3.1,2019-09-04 14:15
363,Dhidhdhoo,MV,6.88,73.1,27.95,71,80,4.63,2019-09-04 14:15
364,Margate,AU,-43.03,147.26,5.38,75,80,1.2,2019-09-04 14:15
365,Pacific Grove,US,36.62,-121.92,22.84,40,68,4.1,2019-09-04 14:15
366,Fatsa,TR,41.03,37.5,23.0,40,73,2.18,2019-09-04 14:15
367,Ornskoldsvik,SE,63.29,18.72,11.56,0,76,2.6,2019-09-04 14:15
368,Chivilcoy,AR,-34.9,-60.02,10.85,57,36,3.68,2019-09-04 14:15
369,Elban,RU,50.1,136.51,16.85,69,92,4.24,2019-09-04 14:15
370,Bourail,NC,-21.57,165.5,16.05,16,82,4.32,2019-09-04 14:15
371,Flin Flon,CA,54.77,-101.88,10.0,90,100,2.1,2019-09-04 14:15
372,Shingu,JP,33.72,135.99,19.25,12,95,2.36,2019-09-04 14:15
373,Lehigh Acres,US,26.63,-81.62,31.93,1,55,6.2,2019-09-04 14:15
374,Faanui,PF,-16.48,-151.75,25.85,16,82,10.51,2019-09-04 14:15
375,Ugoofaaru,MV,5.67,73.0,28.35,91,76,3.36,2019-09-04 14:15
376,Bouna,CI,9.27,-3.0,25.25,78,88,0.26,2019-09-04 14:15
377,Belaya Gora,RU,68.54,146.19,5.15,58,55,6.05,2019-09-04 14:15
378,Pangoa,PE,-12.12,-73.0,22.95,100,87,0.7,2019-09-04 14:15
379,Ulladulla,AU,-35.36,150.48,7.74,81,87,2.1,2019-09-04 14:15
380,Rincon,PA,8.46,-82.28,29.0,40,79,4.6,2019-09-04 14:15
381,Mercedes,UY,-33.25,-58.03,11.67,0,46,4.92,2019-09-04 14:15
382,Avanigadda,IN,16.02,80.92,25.15,100,86,3.6,2019-09-04 14:15
383,Kalemie,CD,-5.95,29.2,21.65,4,45,0.8,2019-09-04 14:15
384,Saurimo,AO,-9.66,20.4,25.25,96,47,1.47,2019-09-04 14:15
385,Pochutla,MX,15.74,-96.47,32.39,20,66,2.1,2019-09-04 14:15
386,Calahorra,ES,42.3,-1.96,19.85,20,56,3.1,2019-09-04 14:15
387,Pisco,PE,-13.71,-76.2,19.66,90,30,4.6,2019-09-04 14:15
388,Qaqortoq,GL,60.72,-46.03,11.0,75,71,3.6,2019-09-04 14:15
389,Mago,RU,53.27,140.15,11.65,83,97,1.36,2019-09-04 14:15
390,Tynda,RU,55.15,124.74,7.95,84,93,1.63,2019-09-04 14:15
391,Richards Bay,ZA,-28.77,32.06,20.95,7,76,8.06,2019-09-04 14:15
392,Severnoye,RU,54.09,52.54,8.95,0,93,2.72,2019-09-04 14:15
393,Kawambwa,ZM,-9.8,29.07,23.65,28,26,3.48,2019-09-04 14:15
394,Broome,GB,52.47,1.45,16.38,40,55,8.2,2019-09-04 14:15
395,Cayenne,GF,4.94,-52.33,32.0,40,62,5.1,2019-09-04 14:15
396,Zlobin,HR,45.29,14.65,20.15,0,38,5.1,2019-09-04 14:15
397,Nan,TH,18.78,100.78,21.85,100,95,0.64,2019-09-04 14:15
398,Fairbanks,US,64.84,-147.72,11.55,75,87,0.95,2019-09-04 14:15
399,Kungurtug,RU,50.6,97.53,7.95,73,60,1.56,2019-09-04 14:15
400,Dauriya,RU,49.93,116.85,14.95,99,94,4.43,2019-09-04 14:15
401,Suntar,RU,62.16,117.65,10.35,70,95,2.91,2019-09-04 14:15
402,Westport,US,41.14,-73.36,27.17,90,69,5.7,2019-09-04 14:15
403,Skelleftea,SE,64.75,20.95,8.42,0,81,1.0,2019-09-04 14:15
404,Ayan,IR,38.23,44.7,15.15,37,49,1.39,2019-09-04 14:15
405,Opuwo,NA,-18.06,13.84,22.45,0,23,3.75,2019-09-04 14:15
406,Terrace Bay,CA,48.78,-87.1,14.0,20,71,3.1,2019-09-04 14:15
407,Turukhansk,RU,65.8,87.96,6.65,31,84,2.85,2019-09-04 14:15
408,Mendi,ET,9.8,35.1,18.55,100,93,1.67,2019-09-04 14:15
409,Zatoka,PL,50.04,20.52,15.72,0,77,1.0,2019-09-04 14:15
410,Yucca Valley,US,34.12,-116.41,35.86,1,17,2.29,2019-09-04 14:15
411,Jadu,LY,31.95,12.03,24.55,12,64,5.36,2019-09-04 14:15
412,Malpe,IN,13.35,74.72,24.0,75,94,5.1,2019-09-04 14:15
413,Quarai,BR,-30.39,-56.45,13.25,0,46,4.1,2019-09-04 14:15
414,Pahrump,US,36.21,-115.98,36.22,1,17,3.44,2019-09-04 14:15
415,Moro,PK,26.66,68.0,31.0,40,70,3.1,2019-09-04 14:15
416,Banyo,CM,6.75,11.81,18.35,99,94,1.19,2019-09-04 14:15
417,Japura,ID,-0.42,102.29,23.75,40,90,0.21,2019-09-04 14:15
418,Aloleng,PH,16.13,119.78,28.25,100,81,9.75,2019-09-04 14:15
419,Vanimo,PG,-2.67,141.3,26.45,100,79,2.11,2019-09-04 14:15
420,San Andres,PH,13.32,122.68,25.95,97,91,3.42,2019-09-04 14:15
421,Butterworth,MY,5.4,100.37,26.77,75,88,1.5,2019-09-04 14:15
422,Hofn,IS,64.25,-15.21,11.0,20,62,3.6,2019-09-04 14:15
423,Walvis Bay,NA,-22.95,14.51,12.89,90,82,2.1,2019-09-04 14:15
424,Gualdo Tadino,IT,43.23,12.78,19.65,0,49,4.6,2019-09-04 14:15
425,Tazmalt,DZ,36.39,4.4,25.0,20,69,2.1,2019-09-04 14:15
426,Presidente Medici,BR,-11.18,-61.9,39.15,87,20,2.03,2019-09-04 14:15
427,Celestun,MX,20.87,-90.4,28.55,4,78,3.93,2019-09-04 14:15
428,Kavieng,PG,-2.57,150.8,27.65,100,77,4.04,2019-09-04 14:15
429,Zyryanka,RU,65.73,150.89,7.55,72,70,1.8,2019-09-04 14:15
430,Naze,NG,5.43,7.07,24.25,90,93,1.84,2019-09-04 14:15
431,Omboue,GA,-1.57,9.26,23.95,27,87,7.1,2019-09-04 14:15
432,Tiarei,PF,-17.53,-149.33,26.83,75,74,1.0,2019-09-04 14:15
433,Wanning,AT,48.64,13.53,16.42,0,56,1.5,2019-09-04 14:15
434,Borba,BR,-4.39,-59.59,39.15,31,25,2.15,2019-09-04 14:15
435,Vila Franca do Campo,PT,37.72,-25.43,22.34,20,64,8.7,2019-09-04 14:15
436,Canberra,AU,-35.3,149.1,4.49,0,85,2.1,2019-09-04 14:15
437,Fukue,JP,35.03,136.69,24.24,75,94,6.7,2019-09-04 14:15
438,Mahon,IE,51.89,-8.4,12.54,75,71,10.8,2019-09-04 14:15
439,Varsag,RO,46.52,25.35,18.89,12,68,1.79,2019-09-04 14:15
440,Wolgast,DE,54.05,13.77,17.22,95,62,3.43,2019-09-04 14:15
441,Kumluca,TR,36.37,30.29,17.25,10,82,0.42,2019-09-04 14:15
442,Santa Vitoria do Palmar,BR,-33.52,-53.37,10.05,26,57,5.22,2019-09-04 14:15
443,Great Falls,US,47.5,-111.29,29.65,1,19,6.7,2019-09-04 14:15
444,Taree,AU,-31.91,152.46,8.0,0,87,0.99,2019-09-04 14:15
445,Phangnga,TH,8.45,98.53,27.0,20,83,1.0,2019-09-04 14:15
446,Burns Lake,CA,54.23,-125.76,13.95,95,71,2.82,2019-09-04 14:15
447,Bemidji,US,47.48,-94.89,17.61,1,55,1.5,2019-09-04 14:15
448,Sobolevo,RU,54.43,31.9,11.75,17,88,1.86,2019-09-04 14:15
449,Soyo,AO,-6.13,12.37,23.05,63,84,4.6,2019-09-04 14:15
450,Chibuto,MZ,-24.69,33.53,20.75,0,59,2.55,2019-09-04 14:15
451,Cockburn Town,TC,21.46,-71.14,31.0,40,66,7.2,2019-09-04 14:15
452,Fengzhen,CN,40.43,113.15,15.25,0,60,0.76,2019-09-04 14:15
453,Kruisfontein,ZA,-34.0,24.73,12.75,99,85,1.32,2019-09-04 14:15
454,Huaiyin,CN,33.59,119.02,20.55,79,91,1.85,2019-09-04 14:15
455,Kalmunai,LK,7.42,81.82,26.15,100,71,1.38,2019-09-04 14:15
456,Sovetskiy,RU,56.76,48.47,10.55,1,80,1.96,2019-09-04 14:15
457,La Asuncion,AR,-26.05,-65.39,11.75,100,50,4.01,2019-09-04 14:15
458,Henties Bay,NA,-22.12,14.28,12.78,0,89,0.89,2019-09-04 14:15
459,Zaysan,KZ,47.47,84.87,15.35,100,51,2.15,2019-09-04 14:15
460,Piterka,RU,50.68,47.44,16.15,70,50,1.51,2019-09-04 14:15
461,Ambilobe,MG,-13.19,49.05,22.95,54,62,4.9,2019-09-04 14:15
462,Rome,IT,41.89,12.48,23.67,0,64,1.5,2019-09-04 14:15
463,Katsuura,JP,33.93,134.5,25.0,75,100,4.1,2019-09-04 14:15
464,Nerchinsk,RU,51.98,116.59,12.35,100,91,0.85,2019-09-04 14:15
465,Ahipara,NZ,-35.17,173.16,13.33,93,100,9.5,2019-09-04 14:15
466,Xinyang,CN,32.13,114.07,20.05,86,88,1.6,2019-09-04 14:15
467,Longyearbyen,NO,78.22,15.63,1.0,75,80,2.1,2019-09-04 14:15
468,Chiredzi,ZW,-21.05,31.67,22.25,0,21,2.53,2019-09-04 14:15
469,Kjollefjord,NO,70.95,27.35,10.36,75,66,1.0,2019-09-04 14:15
470,Mecca,SA,21.43,39.83,29.15,33,62,3.12,2019-09-04 14:15
471,San Francisco,CO,1.17,-76.88,24.0,75,38,7.7,2019-09-04 14:15
472,Winslow,GB,51.94,-0.88,15.69,40,63,5.1,2019-09-04 14:15
473,Eyl,SO,7.98,49.82,25.45,3,68,11.04,2019-09-04 14:15
474,Ust-Nera,RU,64.57,143.24,4.05,99,93,1.75,2019-09-04 14:16
475,Udachnyy,RU,66.42,112.4,4.0,90,100,2.0,2019-09-04 14:16
476,Sayyan,YE,15.17,44.32,25.65,66,57,1.21,2019-09-04 14:16
477,Mehamn,NO,71.03,27.85,10.39,0,81,2.1,2019-09-04 14:16
478,Svetlaya,RU,46.54,138.33,14.75,44,67,2.01,2019-09-04 14:16
479,Florianopolis,BR,-27.6,-48.55,15.36,75,67,6.2,2019-09-04 14:16
480,Puerto Narino,CO,-3.77,-70.38,31.0,75,74,3.1,2019-09-04 14:16
481,Benguela,AO,-12.58,13.4,20.95,99,85,3.22,2019-09-04 14:16
482,La Union,GT,14.97,-89.29,32.22,54,38,1.34,2019-09-04 14:16
483,Sangmelima,CM,2.93,11.98,20.95,97,97,1.57,2019-09-04 14:16
484,Necochea,AR,-38.55,-58.74,7.79,98,62,6.26,2019-09-04 14:16
485,Whitehaven,US,35.03,-90.03,34.09,40,49,3.6,2019-09-04 14:16
486,Srednekolymsk,RU,67.46,153.71,5.65,0,78,2.66,2019-09-04 14:16
487,Kalaleh,IR,37.38,55.49,22.0,0,56,2.99,2019-09-04 14:16
488,Guaratingueta,BR,-22.82,-45.19,24.86,20,61,6.2,2019-09-04 14:16
489,Araouane,ML,18.9,-3.53,39.55,46,16,3.82,2019-09-04 14:16
490,Maldonado,UY,-34.91,-54.96,9.0,75,49,4.6,2019-09-04 14:16
491,Sao Miguel do Araguaia,BR,-13.28,-50.16,41.75,0,9,2.92,2019-09-04 14:16
492,Hobyo,SO,5.35,48.53,25.45,18,79,12.98,2019-09-04 14:16
493,Altay,CN,47.83,88.13,10.95,100,56,3.36,2019-09-04 14:16
494,Jipijapa,EC,-1.35,-80.58,24.0,40,73,6.2,2019-09-04 14:16
495,Develi,TR,38.39,35.49,20.44,0,35,1.5,2019-09-04 14:16
496,Dwarka,IN,28.58,77.04,31.75,40,89,2.6,2019-09-04 14:16
497,Sorong,ID,-0.86,131.25,23.05,88,96,2.57,2019-09-04 14:16
498,Lipin Bor,RU,60.26,37.97,12.05,100,97,2.82,2019-09-04 14:16
499,Kulachi,PK,31.93,70.46,33.75,0,27,0.58,2019-09-04 14:16
500,Torquay,GB,50.47,-3.52,14.92,20,77,5.7,2019-09-04 14:16
501,Poum,MK,41.28,20.71,18.0,0,63,1.0,2019-09-04 14:16
502,Novikovo,RU,51.15,37.89,17.85,17,64,3.44,2019-09-04 14:16
503,Djambala,CG,-2.55,14.76,23.65,100,73,1.76,2019-09-04 14:16
504,Vanavara,RU,60.35,102.28,5.45,2,89,1.06,2019-09-04 14:16
505,Matara,BI,-3.48,29.48,13.15,79,68,0.59,2019-09-04 14:16
506,Syzran,RU,53.16,48.47,10.25,7,82,2.39,2019-09-04 14:16
507,Taltal,CL,-25.41,-70.49,14.95,3,58,2.9,2019-09-04 14:16
508,Tandil,AR,-37.33,-59.14,10.56,69,43,3.58,2019-09-04 14:16
509,Bonavista,CA,48.65,-53.11,15.0,83,76,0.89,2019-09-04 14:16
510,Dunedin,NZ,-45.87,170.5,9.44,100,84,7.15,2019-09-04 14:16
511,Houma,CN,35.63,111.36,19.75,2,52,1.6,2019-09-04 14:16
512,Chumikan,RU,54.72,135.31,10.75,98,85,3.39,2019-09-04 14:16
513,Merrill,US,42.03,-121.6,25.27,1,40,1.5,2019-09-04 14:16
514,Muncar,ID,-8.43,114.34,18.55,4,97,1.07,2019-09-04 14:16
515,Itaituba,BR,-4.26,-55.99,35.0,20,53,4.1,2019-09-04 14:16
516,Ustye,RU,58.76,27.79,15.85,12,77,5.16,2019-09-04 14:16
517,Verkhnyaya Maksakovka,RU,61.63,50.97,11.0,0,87,2.0,2019-09-04 14:16
518,Moerai,PF,-22.43,-151.33,20.15,74,68,9.23,2019-09-04 14:16
519,Superior,US,39.95,-105.17,27.37,1,32,2.1,2019-09-04 14:16
520,Show Low,US,34.25,-110.03,30.71,1,18,4.1,2019-09-04 14:16
521,Nchelenge,ZM,-9.35,28.74,23.95,55,58,0.87,2019-09-04 14:16
522,Santa Cruz,BR,-6.22,-36.02,31.75,12,40,6.26,2019-09-04 14:16
523,Mayumba,GA,-3.44,10.65,23.05,50,86,4.0,2019-09-04 14:16
524,Sainte-Suzanne,CH,47.51,6.77,19.67,0,42,1.5,2019-09-04 14:16
525,Salalah,OM,17.01,54.1,27.0,75,88,1.0,2019-09-04 14:16
526,Roebourne,AU,-20.77,117.15,17.25,0,57,3.31,2019-09-04 14:16
527,Aksu,KZ,52.04,76.93,8.0,0,81,2.0,2019-09-04 14:16
528,Edd,ER,13.93,41.69,32.45,0,54,3.02,2019-09-04 14:16
529,Petatlan,MX,17.52,-101.27,29.0,75,74,1.0,2019-09-04 14:16
530,Yatou,CM,3.63,9.81,25.0,75,100,7.61,2019-09-04 14:16
531,College,US,64.86,-147.8,11.59,75,87,0.95,2019-09-04 14:16
532,Aboso,GH,5.36,-1.95,24.25,93,92,2.55,2019-09-04 14:16
